Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
A0A7D9NKV7,A0A7D9NKV7_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),XB5799681 loxl4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),755
A0A1B8XSL2,A0A1B8XSL2_XENTR,unreviewed,Pro-thyrotropin-releasing hormone,XENTR_v90030078mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),226
A0A6I8SCZ7,A0A6I8SCZ7_XENTR,unreviewed,Delta-like protein,jag1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1218
Q0V9V5,OLFL3_XENTR,reviewed,Olfactomedin-like protein 3,olfml3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),416
Q5M8X6,COL10_XENTR,reviewed,Collectin-10,colec10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),275
A0A6I8RX48,A0A6I8RX48_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),467
Q6DIX4,Q6DIX4_XENTR,unreviewed,Clusterin,clu MGC89163,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),445
A0A6I8R0R7,A0A6I8R0R7_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),447
A0A6I8RGG3,A0A6I8RGG3_XENTR,unreviewed,Plasminogen activator (EC 3.4.21.68),plat,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),503
Q6P1S8,Q6P1S8_XENTR,unreviewed,Calumenin (Reticulocalbin 3),snx2 calu rcn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),323
A0A6I8QM36,A0A6I8QM36_XENTR,unreviewed,Delta-like protein,jag1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1163
A0A6I8R3F1,A0A6I8R3F1_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),447
A0A803JZ64,A0A803JZ64_XENTR,unreviewed,Platelet-derived growth factor C,pdgfc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),361
A0A6I8Q433,A0A6I8Q433_XENTR,unreviewed,Delta-like protein,jag2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1224
A0A1B8Y4C2,A0A1B8Y4C2_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),XENTR_v90026666mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),507
A0A6I8REQ8,A0A6I8REQ8_XENTR,unreviewed,Delta-like protein,jag2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1186
F6RDN0,F6RDN0_XENTR,unreviewed,Beta-neoendorphin-dynorphin (Preprodynorphin) (Proenkephalin-B) (Fragment),PDYN,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),237
A0A1B8Y8I6,A0A1B8Y8I6_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),CXCL8 XENTR_v90029243mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),105
F6UI64,F6UI64_XENTR,unreviewed,Glial cell line-derived neurotrophic factor,gdnf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),227
A0A6I8R264,A0A6I8R264_XENTR,unreviewed,Bone morphogenetic protein 3,gdf10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),436
F6U272,F6U272_XENTR,unreviewed,Transforming growth factor beta,tgfb1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),381
A0A6I8QZC5,A0A6I8QZC5_XENTR,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),braf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),959
A0A6I8PWY0,A0A6I8PWY0_XENTR,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),braf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),948
A0A6I8R6H8,A0A6I8R6H8_XENTR,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),braf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),948
F6XSB5,F6XSB5_XENTR,unreviewed,Multifunctional fusion protein [Includes: Fibroblast growth factor 1 (Acidic fibroblast growth factor) (Heparin-binding growth factor 1); Fibroblast growth factor (FGF)],fgf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),155
Q0V9B6,Q0V9B6_XENTR,unreviewed,Coagulation factor VII (EC 3.4.21.21) (Serum prothrombin conversion accelerator),f7 MGC147413,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),452
A0A6I8R0J6,A0A6I8R0J6_XENTR,unreviewed,Angiotensinogen (Serpin A8),agt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),464
B1H342,B1H342_XENTR,unreviewed,"Alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155)",mgat5 LOC100145551,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),742
A0A6I8SIY7,A0A6I8SIY7_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),767
B3DL07,B3DL07_XENTR,unreviewed,Zona pellucida sperm-binding protein 3,LOC394444,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462
Q66IK2,Q66IK2_XENTR,unreviewed,Zona pellucida sperm-binding protein 3 (Fragment),LOC394444,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),465
Q6P803,Q6P803_XENTR,unreviewed,Zona pellucida sperm-binding protein 3 (Fragment),LOC394444,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462
Q28J86,Q28J86_XENTR,unreviewed,Collagenase 3 (Matrix metalloproteinase-13),mmp3 TNeu101m23.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),497
A0A1B8Y8M9,A0A1B8Y8M9_XENTR,unreviewed,Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine],cxcl2 CXCL8 XENTR_v90029241mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),101
F7D391,F7D391_XENTR,unreviewed,Uromodulin,LOC116407732,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),956
F6UAM2,F6UAM2_XENTR,unreviewed,Collagenase 3 (Matrix metalloproteinase-13),mmp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),495
A0A6I8Q811,A0A6I8Q811_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),691
F6ZB49,F6ZB49_XENTR,unreviewed,Fibroblast growth factor (FGF),fgf9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),208
A0A803K0Z7,A0A803K0Z7_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),783
A0A803JB56,A0A803JB56_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),763
A0A803J695,A0A803J695_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),799
A0A803JTY0,A0A803JTY0_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),747
A0A803J7I2,A0A803J7I2_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),818
F7AFG4,F7AFG4_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),471
F6ZJB2,F6ZJB2_XENTR,unreviewed,Neurotrypsin (Serine protease 12),prss12,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),861
A2VCU8,NELL2_XENTR,reviewed,Protein kinase C-binding protein NELL2 (NEL-like protein 2),nell2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),814
A0A1B8XXZ6,A0A1B8XXZ6_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),XENTR_v90029722mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),444
A0A1B8XY34,A0A1B8XY34_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),XENTR_v90029723mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),474
A0A6I8QK59,A0A6I8QK59_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),447
F7BDM2,F7BDM2_XENTR,unreviewed,Otogelin-like 2,gja8 LOC101733689 otog otogl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2228
A0A1B8Y313,A0A1B8Y313_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp1 XENTR_v90027327mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),468
A4IGM4,DHI1L_XENTR,reviewed,Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3),hsd11b1l hsd3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),286
A4IHQ3,A4IHQ3_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl1 LOC100124878,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),525
Q642T5,Q642T5_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),LOC394967,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),472
F6RT24,F6RT24_XENTR,unreviewed,Folate gamma-glutamyl hydrolase (EC 3.4.19.9),crb2 ggh ggh.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),311
Q6DJ80,Q6DJ80_XENTR,unreviewed,Clusterin,MGC89163,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),445
Q0IIS1,Q0IIS1_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2 pnliprp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),468
A0A803JIN9,A0A803JIN9_XENTR,unreviewed,Matrix Gla protein (MGP),mgp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),189
A4IIN8,A4IIN8_XENTR,unreviewed,Adenylate cyclase activating polypeptide 1 (pituitary) (LOC100125031 protein),adcyap1 LOC100125031,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),139
Q5M8Y0,Q5M8Y0_XENTR,unreviewed,Christmas factor (EC 3.4.21.22) (Coagulation factor IX),f9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),463
A0A6I8R3C7,A0A6I8R3C7_XENTR,unreviewed,Neurotrypsin (Serine protease 12),prss12,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),851
Q6B9Z9,Q6B9Z9_XENTR,unreviewed,Noggin,nog2 TNeu122a14.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),218
B0JZ09,B0JZ09_XENTR,unreviewed,Fibrinogen beta chain,fgb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),490
F6R5H7,F6R5H7_XENTR,unreviewed,Complement component 8 subunit beta (Complement component C8 beta chain),c8b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),572
A0A803K263,A0A803K263_XENTR,unreviewed,Matrix Gla protein (MGP),mgp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),104
A0A1B8XUD0,A0A1B8XUD0_XENTR,unreviewed,C-C motif chemokine (Fragment),XENTR_v90027320mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),95
F7BFB0,F7BFB0_XENTR,unreviewed,Angiotensinogen (Serpin A8),agt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),410
F6SRT1,F6SRT1_XENTR,unreviewed,Collagenase 3 (Matrix metalloproteinase-13),mmp13l,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),472
A0A803KLC2,A0A803KLC2_XENTR,unreviewed,Christmas factor (EC 3.4.21.22) (Coagulation factor IX),f9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),463
F6TT35,F6TT35_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),lox,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),576
F6XB15,F6XB15_XENTR,unreviewed,"Lipase, endothelial",lipg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),500
F6VKE9,F6VKE9_XENTR,unreviewed,Complement component C9,c9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),601
A0A6I8SIX6,A0A6I8SIX6_XENTR,unreviewed,Annexin,anxa2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),350
K9J7S4,K9J7S4_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),525
A0A6I8PVF5,A0A6I8PVF5_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),431
F6RXQ6,F6RXQ6_XENTR,unreviewed,Fibrinogen beta chain,fgb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),496
F6YHQ1,F6YHQ1_XENTR,unreviewed,Angiopoietin-like protein 4 (Angiopoietin-related protein 4),angptl4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),457
B1WBK2,B1WBK2_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),467
F6SX40,F6SX40_XENTR,unreviewed,Bone morphogenetic protein 3,bmp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),458
F6TA95,F6TA95_XENTR,unreviewed,Annexin,anxa2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),332
Q640B2,Q640B2_XENTR,unreviewed,Hypothetical LOC496414,col1a1 LOC496414,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1449
A0A1B8XY60,A0A1B8XY60_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),XENTR_v90029720mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),467
A0A6I8Q7T4,A0A6I8Q7T4_XENTR,unreviewed,Annexin,anxa2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),369
Q0IHS3,Q0IHS3_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),lox,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),417
F7CZB7,F7CZB7_XENTR,unreviewed,Insulin-like growth factor 3,igf3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),122
F7BWG1,F7BWG1_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),lox,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),417
A0A6I8RUL0,A0A6I8RUL0_XENTR,unreviewed,Uromodulin,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),943
A0A803J6I4,A0A803J6I4_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),LOC100498389 CXCL8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),95
A0A6I8Q4D4,A0A6I8Q4D4_XENTR,unreviewed,Uromodulin,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),946
A0A6I8Q5U1,A0A6I8Q5U1_XENTR,unreviewed,Uromodulin,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),941
B1H1E2,B1H1E2_XENTR,unreviewed,Pentaxin (Pentraxin),XB5852574 LOC100145348 XB5852574 [provisional:crp],Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),243
A0A803KLF3,A0A803KLF3_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3461
B5DDZ8,B5DDZ8_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3463
A0A803KF81,A0A803KF81_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),lox,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),436
Q6P2Z1,Q6P2Z1_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),MGC76224,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),472
Q6P4N5,Q6P4N5_XENTR,unreviewed,High mobility group protein 1 (High mobility group protein B1),hmgb1 TEgg067f14.1-001 TTpA012a14.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),211
A0A6I8RQ44,A0A6I8RQ44_XENTR,unreviewed,Thrombospondin 1,thbs1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1176
A0A6I8SW15,A0A6I8SW15_XENTR,unreviewed,Complement component C9,c9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),544
A0A6I8RTW7,A0A6I8RTW7_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3466
A0A6I8QXU6,A0A6I8QXU6_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3442
A0A6I8SYJ1,A0A6I8SYJ1_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3427
A0A6I8Q3U3,A0A6I8Q3U3_XENTR,unreviewed,Reelin,reln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3460
A0A6I8S498,A0A6I8S498_XENTR,unreviewed,Thrombospondin 1,thbs1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1177
Q28IT6,Q28IT6_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnlip TNeu058i21.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),472
B0JZ32,B0JZ32_XENTR,unreviewed,Complement component C9 (Fragment),c9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),598
Q5M7M6,Q5M7M6_XENTR,unreviewed,Complement component C9 (Fragment),c9-prov,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),595
A0A6I8RPN4,A0A6I8RPN4_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),798
A0A4X2Q0E5,A0A4X2Q0E5_XENTR,unreviewed,Lysyl oxidase homolog (EC 1.4.3.13),loxl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),784
A9JSD6,COL_XENTR,reviewed,Colipase,clps,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),117
Q28FI8,NEUFC_XENTR,reviewed,Neuferricin (Cytochrome b5 domain-containing protein 2),cyb5d2 TNeu100j22.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),273
A0A803JSS1,A0A803JSS1_XENTR,unreviewed,"Mucin 6, oligomeric mucus/gel-forming",muc6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1628
B6RCW1,B6RCW1_XENTR,unreviewed,"Interferon gamma (Interferon, gamma) (Fragment)",ifng IFNgamma,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),179
A0A6I8Q6C2,A0A6I8Q6C2_XENTR,unreviewed,Complement C3,LOC101734099,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1672
F6PPH6,F6PPH6_XENTR,unreviewed,Interferon lambda-3 (Type III interferon 3),LOC101734074,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),179
B3DLC5,B3DLC5_XENTR,unreviewed,Nerve growth factor (Ngf protein),ngf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),231
Q4QQQ9,Q4QQQ9_XENTR,unreviewed,Matrix metallopeptidase 13,mmp13 mgc108008,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),261
A0A803JA58,A0A803JA58_XENTR,unreviewed,Protein Wnt,wnt5b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),375
F7D9G8,F7D9G8_XENTR,unreviewed,Glucagon,gcg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),266
F7C6X8,F7C6X8_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1475
F7BL17,F7BL17_XENTR,unreviewed,Gremlin,grem1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),182
Q0V9T4,Q0V9T4_XENTR,unreviewed,Transforming growth factor-beta-induced protein ig-h3,tgfbi MGC146225,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),677
B7U3X7,B7U3X7_XENTR,unreviewed,Fibroblast growth factor (FGF),fgf4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),192
F6TCR4,F6TCR4_XENTR,unreviewed,Protein Wnt,LOC100487954 XENTR_v90026617mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),354
A0A6I8RE30,A0A6I8RE30_XENTR,unreviewed,Collagen type VI alpha 5 chain,col6a5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2712
B7ZSL7,B7ZSL7_XENTR,unreviewed,Frizzled-related protein 2,frzb2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),250
A0A6I8T2B0,A0A6I8T2B0_XENTR,unreviewed,Preprocaerulein type-4-like,LOC116411701,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),98
Q66JF6,Q66JF6_XENTR,unreviewed,Annexin,anxa9 anxa2 TNeu081m01.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),337
A0A5G3HHG9,A0A5G3HHG9_XENTR,unreviewed,Nucleobindin-1,nucb1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),545
B3DLA0,B3DLA0_XENTR,unreviewed,Left-right determination factor,lefty LOC100170470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),365
Q5CZZ1,Q5CZZ1_XENTR,unreviewed,Atp6v0b-prov protein,alb atp6v0b-prov,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),609
A0A803KJT0,A0A803KJT0_XENTR,unreviewed,Bactericidal permeability-increasing protein,bpi.4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),476
F6RRX5,F6RRX5_XENTR,unreviewed,"Spondin 2, extracellular matrix protein",spon2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),345
A0A7D9NJJ5,A0A7D9NJJ5_XENTR,unreviewed,Transcription factor Sox-10 (Vascular endothelial growth factor C),vegfc sox10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),407
Q6DJ32,Q6DJ32_XENTR,unreviewed,Procollagen C-endopeptidase enhancer 2,pcolce2 TTpA011d07.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),416
F7DUY6,F7DUY6_XENTR,unreviewed,Meteorin-like protein,XENTR_v90025739mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),291
A4IIC2,A4IIC2_XENTR,unreviewed,Decorin,dcn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),364
L7N2H3,L7N2H3_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),LOC100487482,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),347
A0A803J8N1,A0A803J8N1_XENTR,unreviewed,Alpha-2-macroglobulin-like 1,a2ml1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1473
B5DDW4,B5DDW4_XENTR,unreviewed,Matrix metallopeptidase 15 (Matrix metallopeptidase 15 (Membrane-inserted)),mmp15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),648
